Timestamp,M1,M2,C1,C2
0,0,-1,0,0
4,0,-1,0,0
10,0,-1,0,0
16,0,-1,0,0
22,0,-1,0,0
28,0,-1,0,0
33,1,-1,0,0
39,0,-1,0,0
45,0,-1,0,0
52,0,-1,0,0
58,1,-1,0,0
63,0,-1,0,0
69,0,-1,0,0
76,0,-1,0,0
82,0,-1,0,0
88,0,-1,0,0
94,0,0,0,0
100,0,-1,0,0
106,0,-1,0,0
112,0,-1,0,0
118,1,-1,0,0
124,1,-1,0,0
130,0,-1,0,0
136,0,-1,0,0
142,0,-1,0,0
148,0,-1,0,0
154,0,-1,0,0
160,0,-1,0,0
165,0,-1,0,0
172,0,-1,0,0
177,0,-1,0,0
184,0,-1,0,0
190,0,-1,0,0
196,0,-1,0,0
201,0,-1,0,0
208,0,-1,0,0
214,0,-1,0,0
220,1,-1,0,0
226,1,-1,0,0
232,0,-1,0,0
238,0,-1,0,0
243,0,-1,0,0
249,0,-1,0,0
256,1,-1,0,0
262,1,-1,0,0
268,0,-1,0,0
273,0,-1,0,0
279,0,-1,0,0
285,0,-1,0,0
292,0,-1,0,0
298,0,-1,0,0
304,0,-1,0,0
310,0,-1,0,0
316,0,-1,0,0
321,0,-1,0,0
328,0,-1,0,0
334,0,-1,0,0
340,0,-1,0,0
346,0,-1,0,0
351,0,0,0,0
357,0,-1,0,0
364,0,-1,0,0
370,0,-1,0,0
376,0,-1,0,0
382,0,-1,0,0
388,0,-1,0,0
394,1,-1,0,0
399,0,-1,0,0
406,0,-1,0,0
412,0,-1,0,0
418,0,-1,0,0
424,0,-1,0,0
430,0,0,0,0
436,0,-1,0,0
442,0,-1,0,0
447,0,-1,0,0
453,0,-1,0,0
460,0,-1,0,0
466,1,-1,0,0
472,0,-1,0,0
478,0,-1,0,0
484,0,-1,0,0
490,0,-1,0,0
496,1,-1,0,0
501,1,0,0,0
508,0,-1,0,0
513,0,-1,0,0
519,0,-1,0,0
525,0,-1,0,0
532,0,-1,0,0
538,0,-1,0,0
544,0,-1,0,0
550,1,-1,0,0
556,0,-1,0,0
561,0,-1,0,0
567,0,-1,0,0
574,0,-1,0,0
580,0,-1,0,0
586,0,-1,0,0
592,0,-1,0,0
598,0,-1,0,0
604,0,-1,0,0
609,0,-1,0,0
616,0,-1,0,0
622,0,-1,0,0
628,0,-1,0,0
633,0,-1,0,0
639,0,-1,0,0
645,0,-1,0,0
651,0,-1,0,0
658,0,-1,0,0
664,0,-1,0,0
669,0,-1,0,0
675,0,-1,0,0
681,0,-1,0,0
687,0,-1,0,0
693,1,-1,0,0
699,0,-1,0,0
705,1,-1,0,0
711,0,-1,0,0
716,1,-1,0,0
723,0,-1,0,0
729,0,-1,0,0
735,0,-1,0,0
741,0,0,0,0
747,0,-1,0,0
753,0,-1,0,0
759,0,-1,0,0
765,0,0,0,0
771,0,-1,0,0
777,0,-1,0,0
783,0,-1,0,0
789,1,-1,0,0
795,0,-1,0,0
801,0,-1,0,0
807,0,-1,0,0
813,0,-1,0,0
819,0,-1,0,0
825,0,-1,0,0
831,0,-1,0,0
837,0,-1,0,0
843,0,-1,0,0
849,0,-1,0,0
855,0,-1,0,0
861,0,-1,0,0
867,0,-1,0,0
873,0,-1,0,0
879,0,-1,0,0
885,0,0,0,0
891,1,0,0,0
897,0,-1,0,0
903,1,-1,0,0
909,0,-1,0,0
914,0,0,0,0
920,0,-1,0,0
926,0,-1,0,0
933,0,0,0,0
939,0,-1,0,0
944,0,-1,0,0
950,0,-1,0,0
957,0,-1,0,0
963,0,-1,0,0
969,1,-1,0,0
975,0,-1,0,0
981,0,-1,0,0
987,0,-1,0,0
993,0,-1,0,0
999,0,-1,0,0
1005,0,-1,0,0
1011,0,-1,0,0
1016,0,0,0,0
1022,0,-1,0,0
1029,0,-1,0,0
1035,0,-1,0,0
1041,1,-1,0,0
1047,0,-1,0,0
1053,0,-1,0,0
1059,0,-1,0,0
1065,0,-1,0,0
1071,0,-1,0,0
1077,0,0,0,0
1083,1,-1,0,0
1089,0,-1,0,0
1095,1,-1,0,0
1101,0,-1,0,0
1107,0,-1,0,0
1112,1,-1,0,0
1119,0,-1,0,0
1125,0,-1,0,0
1131,0,-1,0,0
1137,0,-1,0,0
1143,0,-1,0,0
1149,0,-1,0,0
1154,0,-1,0,0
1161,1,-1,0,0
1167,0,-1,0,0
1173,1,-1,0,0
1179,0,-1,0,0
1185,0,-1,0,0
1191,0,-1,0,0
1197,0,-1,0,0
1203,1,-1,0,0
1209,0,-1,0,0
1215,1,-1,0,0
1221,0,-1,0,0
1227,0,-1,0,0
1232,0,-1,0,0
1239,1,-1,0,0
1244,0,-1,0,0
1251,0,-1,0,0
1257,0,-1,0,0
1263,0,0,0,0
1269,0,-1,0,0
1275,0,-1,0,0
1281,0,0,0,0
1286,0,-1,0,0
1293,0,-1,0,0
1298,0,-1,0,0
1304,1,-1,0,0
1310,0,-1,0,0
1316,0,-1,0,0
1322,0,-1,0,0
1328,0,-1,0,0
1335,0,-1,0,0
1341,0,-1,0,0
1347,0,-1,0,0
1353,0,0,0,0
1358,0,-1,0,0
1364,0,0,0,0
1370,0,-1,0,0
1376,0,0,0,0
1383,0,-1,0,0
1388,0,-1,0,0
1395,0,0,0,0
1401,0,-1,0,0
1406,0,-1,0,0
1412,0,-1,0,0
1419,0,-1,0,0
1424,1,-1,0,0
1430,0,-1,0,0
