Timestamp,M1,M2,C1,C2
0,0,-1,-4,1
2,0,-1,-4,1
7,1,-1,-4,1
13,1,-2,-4,1
20,1,-1,-4,1
25,0,-1,-4,1
31,0,-1,-4,1
37,0,-2,-4,1
44,0,-1,-4,1
49,0,-1,-4,1
55,0,-1,-4,1
61,1,-1,-4,1
68,0,-1,-4,1
74,1,-1,-4,1
79,0,-1,-4,1
85,1,-2,-4,1
92,0,-1,-4,1
97,1,-1,-4,1
103,0,-2,-4,1
109,0,-1,-4,1
116,0,-1,-4,1
121,0,-1,-4,1
127,0,-1,-4,1
133,1,-1,-4,1
140,0,-1,-4,1
145,0,-1,-4,1
151,0,-1,-4,1
158,0,-1,-4,1
164,0,-1,-4,1
170,0,-2,-4,1
176,0,-1,-4,1
181,0,-1,-4,1
187,0,-1,-4,1
193,0,-1,-4,1
199,0,-1,-4,1
205,1,-2,-4,1
211,1,-1,-4,1
217,0,-2,-4,1
223,1,-1,-4,1
229,1,-1,-4,1
235,0,-2,-4,1
241,0,-1,-4,1
247,0,-1,-4,1
253,0,-2,-4,1
259,0,-1,-4,1
265,0,-1,-4,1
271,0,-1,-4,1
277,0,-1,-4,1
283,1,-1,-4,1
289,0,-1,-4,1
295,0,-2,-4,1
301,0,-1,-4,1
307,1,-1,-4,1
313,0,-1,-4,1
319,0,-1,-4,1
325,0,-1,-4,1
331,0,-1,-4,1
337,0,-1,-4,1
343,0,-1,-4,1
349,0,-1,-4,1
355,1,-1,-4,1
361,0,-1,-4,1
367,1,-1,-4,1
373,0,-1,-4,1
379,0,-2,-4,1
385,0,-1,-4,1
390,0,-1,-4,1
397,0,-2,-4,1
403,0,-1,-4,1
409,0,-1,-4,1
415,0,-1,-4,1
421,0,-1,-4,1
427,0,-1,-4,1
433,0,-1,-4,1
439,0,-1,-4,1
444,0,-1,-4,1
451,0,-1,-4,1
457,0,-1,-4,1
463,0,-1,-4,1
468,0,-1,-4,1
474,0,-1,-4,1
481,1,-2,-4,1
486,0,-2,-4,1
493,0,-2,-4,1
498,0,-1,-4,1
505,0,-1,-4,1
511,1,-2,-4,1
516,0,-1,-4,1
522,0,-2,-4,1
529,0,-1,-4,1
534,0,-1,-4,1
540,0,-1,-4,1
547,0,-1,-4,1
552,0,-1,-4,1
559,0,-1,-4,1
565,0,-1,-4,1
571,0,-1,-4,1
577,0,-1,-4,1
583,0,-2,-4,1
589,0,-2,-4,1
594,0,-1,-4,1
600,1,-1,-4,1
607,1,-1,-4,1
613,0,-1,-4,1
619,0,-1,-4,1
624,0,-1,-4,1
630,0,-1,-4,1
637,0,-2,-4,1
643,0,-1,-4,1
649,0,-1,-4,1
656,0,-2,-4,1
661,0,-1,-4,1
666,0,-1,-4,1
672,0,-2,-4,1
678,1,-1,-4,1
685,0,-1,-4,1
690,0,-1,-4,1
697,0,-1,-4,1
703,0,-1,-4,1
709,1,-2,-4,1
715,0,-1,-4,1
721,0,-2,-4,1
727,0,-1,-4,1
733,0,-1,-4,1
739,1,-1,-4,1
745,0,-1,-4,1
751,0,-1,-4,1
756,1,-1,-4,1
762,0,-2,-4,1
769,0,-1,-4,1
775,0,-1,-4,1
781,1,-2,-4,1
786,0,-1,-4,1
792,0,-2,-4,1
799,0,-2,-4,1
805,0,-1,-4,1
811,0,-1,-4,1
816,1,-1,-4,1
823,1,-1,-4,1
829,0,-2,-4,1
835,0,-1,-4,1
841,0,-1,-4,1
847,0,-2,-4,1
852,1,-1,-4,1
859,0,-2,-4,1
865,1,-2,-4,1
870,0,-1,-4,1
876,1,-1,-4,1
883,0,-1,-4,1
889,0,-2,-4,1
895,1,-2,-4,1
901,0,-1,-4,1
907,0,-1,-4,1
913,1,-2,-4,1
919,0,-2,-4,1
925,0,-2,-4,1
930,0,-1,-4,1
936,1,-1,-4,1
943,1,-1,-4,1
949,0,-1,-4,1
955,0,-2,-4,1
960,0,-1,-4,1
967,0,-1,-4,1
973,0,-1,-4,1
979,0,-2,-4,1
985,1,-2,-4,1
991,0,-1,-4,1
997,0,-1,-4,1
1003,1,-1,-4,1
1009,0,-1,-4,1
1015,0,-2,-4,1
1021,0,-1,-4,1
1026,0,-1,-4,1
1032,0,-1,-4,1
1038,1,-1,-4,1
1044,0,-1,-4,1
1050,0,-1,-4,1
1056,0,-1,-4,1
1063,1,-2,-4,1
1069,1,-2,-4,1
1074,0,-1,-4,1
1080,0,-1,-4,1
1086,0,-2,-4,1
1093,0,-2,-4,1
1098,0,-1,-4,1
1104,0,-1,-4,1
1110,0,-2,-4,1
1117,0,-2,-4,1
1122,0,-1,-4,1
1128,1,-1,-4,1
1134,0,-1,-4,1
1140,0,-1,-4,1
1147,0,-1,-4,1
1153,0,-1,-4,1
1159,0,-1,-4,1
1165,1,-1,-4,1
1171,0,-1,-4,1
1176,0,-1,-4,1
1182,0,-1,-4,1
1188,0,-1,-4,1
1194,1,-2,-4,1
1200,1,-2,-4,1
1207,0,-1,-4,1
1213,0,-1,-4,1
1219,0,-2,-4,1
1224,0,-2,-4,1
1230,1,-1,-4,1
1236,1,-2,-4,1
1243,0,-1,-4,1
1249,0,-1,-4,1
1254,0,-1,-4,1
1260,0,-1,-4,1
1266,0,-1,-4,1
1272,0,-1,-4,1
1278,0,-1,-4,1
1284,1,-1,-4,1
1290,0,-1,-4,1
1296,0,-1,-4,1
1302,1,-1,-4,1
1308,0,-1,-4,1
1314,0,-1,-4,1
1320,0,-1,-4,1
1326,0,-1,-4,1
1331,0,-1,-4,1
1338,0,-1,-4,1
1344,0,-1,-4,1
1350,0,-1,-4,1
1356,0,-1,-4,1
1362,0,-1,-4,1
1368,0,-1,-4,1
1374,0,-1,-4,1
1380,0,-1,-4,1
1386,0,-1,-4,1
1392,1,-1,-4,1
1398,0,-1,-4,1
1404,0,-2,-4,1
1410,1,-2,-4,1
1416,0,-2,-4,1
1422,0,-1,-4,1
1428,0,-1,-4,1
1434,0,-1,-4,1
1440,0,-2,-4,1
1446,0,-1,-4,1
1452,0,-1,-4,1
1458,0,-1,-4,1
1464,0,-1,-4,1
1470,0,-1,-4,1
1476,0,-2,-4,1
1481,0,-1,-4,1
1487,0,-1,-4,1
1493,0,-1,-4,1
1500,0,-1,-4,1
1506,0,-1,-4,1
1512,0,-2,-4,1
