Timestamp,M1,M2,C1,C2
0,1,-1,5,1
3,1,-1,5,1
9,1,-1,5,1
15,1,-1,5,1
21,1,-1,5,1
28,1,-2,5,1
33,0,-1,5,1
39,0,-1,5,1
45,1,-1,5,1
52,1,-1,5,1
57,0,-1,5,1
63,0,-1,5,1
68,0,-1,5,1
76,1,-2,5,1
82,0,-1,5,1
88,1,-1,5,1
93,0,-1,5,1
99,0,-1,5,1
105,0,-1,5,1
112,0,-1,5,1
118,0,-1,5,1
124,1,-1,5,1
130,1,-1,5,1
135,1,-1,5,1
141,1,-1,5,1
148,0,-1,5,1
153,1,-1,5,1
160,0,-1,5,1
166,1,-1,5,1
172,0,-1,5,1
178,0,-1,5,1
184,1,-1,5,1
190,1,-1,5,1
195,0,-1,5,1
201,1,-1,5,1
207,1,-1,5,1
213,1,-1,5,1
219,1,-1,5,1
225,0,-1,5,1
231,0,-1,5,1
237,0,-1,5,1
243,1,-1,5,1
249,1,-1,5,1
255,1,-1,5,1
261,1,-1,5,1
267,1,-1,5,1
273,0,-1,5,1
279,1,-1,5,1
285,1,-1,5,1
291,0,-1,5,1
297,1,-1,5,1
303,1,-1,5,1
309,1,-1,5,1
315,0,-1,5,1
321,0,-1,5,1
327,1,-1,5,1
333,1,-1,5,1
339,0,-2,5,1
345,1,-1,5,1
351,0,-1,5,1
357,1,-1,5,1
363,0,-1,5,1
369,0,-1,5,1
375,0,-1,5,1
381,1,-1,5,1
387,0,-1,5,1
392,0,-1,5,1
399,1,-1,5,1
405,1,-1,5,1
411,0,-1,5,1
417,1,-1,5,1
423,1,-1,5,1
429,0,-1,5,1
435,0,-1,5,1
441,0,-1,5,1
446,1,-1,5,1
453,1,-1,5,1
459,0,-1,5,1
465,1,-1,5,1
470,1,-1,5,1
476,1,-1,5,1
483,1,-1,5,1
489,1,-1,5,1
495,1,-1,5,1
500,1,-1,5,1
507,1,-1,5,1
513,1,-1,5,1
518,1,-2,5,1
524,1,-1,5,1
530,1,-1,5,1
537,0,-2,5,1
543,0,-1,5,1
549,1,-1,5,1
555,0,-1,5,1
561,1,-1,5,1
566,1,-1,5,1
573,1,-1,5,1
579,1,-2,5,1
584,0,-1,5,1
590,1,-1,5,1
597,0,-1,5,1
603,1,-1,5,1
609,1,-2,5,1
615,1,-1,5,1
621,1,-1,5,1
627,0,-1,5,1
633,0,-1,5,1
639,0,-1,5,1
645,1,-1,5,1
651,1,-1,5,1
657,0,-1,5,1
662,1,-1,5,1
669,0,-1,5,1
675,1,-1,5,1
681,0,-1,5,1
687,1,-1,5,1
693,0,-1,5,1
699,0,-1,5,1
705,1,-1,5,1
711,1,-1,5,1
717,1,-1,5,1
723,0,-1,5,1
729,1,-1,5,1
735,0,-1,5,1
741,0,-1,5,1
747,1,-1,5,1
753,0,-1,5,1
758,0,-1,5,1
765,1,-1,5,1
771,0,-1,5,1
776,1,-1,5,1
783,0,-1,5,1
789,0,-1,5,1
795,0,-1,5,1
801,0,-1,5,1
807,1,-1,5,1
813,1,-1,5,1
819,1,-1,5,1
825,1,-1,5,1
831,0,-1,5,1
836,1,-1,5,1
842,0,-1,5,1
849,1,-1,5,1
855,0,-1,5,1
861,1,-1,5,1
866,1,-1,5,1
872,1,-1,5,1
879,0,-1,5,1
884,0,-1,5,1
890,0,-1,5,1
896,0,-1,5,1
902,0,-2,5,1
909,1,-1,5,1
915,0,-1,5,1
921,0,-1,5,1
927,1,-1,5,1
932,0,-1,5,1
939,1,-1,5,1
945,1,-1,5,1
951,1,-1,5,1
956,0,-1,5,1
962,1,-1,5,1
968,0,-1,5,1
974,0,-1,5,1
980,1,-1,5,1
987,0,-1,5,1
993,1,-1,5,1
999,1,-1,5,1
1004,0,-1,5,1
1011,0,-1,5,1
1017,1,-1,5,1
1023,0,-1,5,1
1029,0,-1,5,1
1034,0,-1,5,1
1040,1,-1,5,1
